kyA: kyA/__p
ajAmila: None
ajamuKa: None
ajanabI: ajAwI/__adj
ajAna: None
ajana: None
ajanaka: None
ajAnapana: None
ajAnawA: None
ajanma: Karc/a__n
ajanmA: kAl/A__adj
ajanya: None
ajapA: None
ajapAla: None
ajapaWa: None
ajapaWya: None
ajara: None
ajasI: None
ajavAina: rAw/a__n
ajavIWI: None
ajAwa: None
ajAwaSawru: vAyu/__n
ajAwI: None
AjAxa: rAw/a__n
AjAxaKayAla: None
ajAxAra: None
ajAxArI: None
AjAxawabIyawa: None
ajaxevawA: None
AjAxI: ladak/I__n
ajAyabaGara: None
ajaya: rAw/a__n
ajayA: None
ajAyavaKAnA: None
ajayya: None
ajAz: None
ajeya: None
AjFABaMga: None
AjFAcakra: None
ajFa: None
ajFA: None
AjFA: kAl/A__n
AjFAkArI: None
ajFAna: None
ajFAnakqwa: None
ajFAnapana: None
ajFAnawA: None
ajFAnawimira: None
ajFAnI: ladak/I__n
AjFApawra: None
AjFApiwa: None
AjFapwa: None
AjFapwi: None
AjFArWaka: None
AjFAviXeya: None
ajFAwacaryA: None
ajFAwa: wIn/a__adj
ajFawA: None
ajFAwA: None
ajFAwakula: None
ajFAwanAmA: None
ajFAwapiwqka: None
ajFAwapUrva: None
ajFAwasvAmika: None
ajFAwavAsa: rAw/a__n
ajFAwi: None
ajFeya: None
ajIba: wIn/a__adj
ajIbogarIba: None
ajihma: None
ajihva: None
ajI: ladak/I__n
ajIja: wIn/a__adj
Ajija: None
ajIjaxAra: None
ajIjaxArI: None
ajilxa: None
ajina: None
ajira: None
ajiravawI: None
ajIrNa: None
ajIva: None
ajIvana: None
AjIvana: rAw/a__n
AjIvikA: kAl/A__n
ajIviwa: None
AjIvya: None
ajiwabalA: None
ajiwa: wIn/a__adj
ajIwa: wIn/a__adj
ajiwanAWa: None
ajiwavikrama: None
ajUbA: bAlikA/__adj
Ajya: None
akabaka: None
akabakA: None
akabara: rAw/a__n
aKabAra: rAw/a__n
aKabAranavIsa: None
aKabAranavIsI: None
akabarI: ladak/I__n
aKabArI: None
akaca: None
akacakA: None
akadabAja: None
akadabAjI: None
akada: None
aKAdA: None
akadana: None
aKadEwa: None
aKAdiyA: None
Aka: None
aka: None
akAja: None
akAla: rAw/a__n
akala: None
akAlakusuma: None
akalamaMxa: None
akalamaMxI: None
akalaMka: None
akalaMkawA: None
akalaMkiwa: None
akAlamqwyu: None
Akalana: rAw/a__n
akAlaprasava: None
akalaxADa: None
akAlI: ladak/I__n
akAlika: None
Akaliwa: None
akalmaRa: None
akAlowpanna: None
akalpa: None
akalpanIya: None
akalpiwa: None
akaluRa: None
akalyANa: None
akAma: None
akAmawA: None
akAMda: None
aKaMda: wIn/a__adj
aKaMdana: None
aKaMdapATa: None
aKaMdasOBAgya: None
aKaMdawA: kAl/A__n
aKaMdiwa: None
akAmI: None
AkAMkRA: pIdZ/A__n
akAMkRI: None
AkAMkRiwa: None
akaMpa: None
akaMpana: None
akaMpiwa: None
AkaMpiwa: None
akaMpya: None
akaMTa: None
akanyA: None
AkaragraMWa: None
akAra: None
AkAra: rAw/a__n
AKara: None
aKArA: None
aKarA: None
aKara: None
akArana: None
akAraNa: rAw/a__n
akaranIya: None
akaraNIya: None
AkAravijFAna: None
akAraWa: None
akarma: None
akarmA: None
akarmaka: None
akarmaNya: None
akarmI: None
akarNaka: None
akarNya: None
aKarota: rAw/a__n
aKarotajaMgalI: None
akArpaNya: None
AkarRa: None
AkarRaka: rAw/a__n
AkarRaNa: rAw/a__n
AkarRaNaSakwi: None
AkarRiwa: wIn/a__adj
akaruNa: None
akarwA: None
akarwana: None
akarwavya: None
akarwqka: None
akarwqwva: None
akArya: None
AkASabela: None
AkASacArI: None
AkASagaMgA: None
akAsa: None
AkASa: rAw/a__n
AkASajala: None
AkASakalpa: None
AkASakusuma: None
AkASamaMdala: None
AkASamuKI: None
akasara: wIn/a__adj
AkASavANI: ladak/I__n
AkASaXruva: None
AkASayAna: None
akasIra: None
AkASIya: None
AkasmikaCuttI: None
Akasmika: rAw/a__n
akAta: None
akaTora: None
akAtya: wIn/a__adj
akAuMtabuka: None
akAuMta: None
akAuMteMta: rAw/a__n
akavaca: None
akaWa: None
akaWanIya: None
akAwara: None
aKawIja: None
akaWiwa: None
akaWya: None
akAxamI: ladak/I__n
akAxamika: rAw/a__n
aKAxya: None
akelA: kAl/A__adj
akelApana: None
akelAxukelA: None
akelI: ajAwI/__adj
AKeta: None
AKetaka: None
aKila: wIn/a__adj
aKilA: None
aKilAwmA: None
aKileSa: rAw/a__n
akiMcana: None
akiMcanawA: None
akiMcijjFa: None
akiMciwkara: None
aKinna: None
AKira: rAw/a__n
AKirI: ajAwI/__adj
AkIrNa: None
akIrwi: None
akKada: None
akKadapana: None
akla: None
aklamaMxa: None
aklamaMxI: None
akleSa: None
aklI: None
akliRta: None
akopa: None
akOSala: None
akOtilya: None
akqpA: None
akqpaNa: None
akqRNa: None
akqRta: None
AkqRta: rAw/a__n
akqSa: None
akqwa: None
akqwArWa: None
akqwAwmA: None
Akqwi: Apawwi/__n
akqwrima: None
akqwsna: None
akqwya: None
akRahIna: None
AkRa: None
akRa: None
akRaja: None
akRakrIdA: None
akrama: None
akRama: wIn/a__adj
akRamA: None
AkrAmaka: wIn/a__adj
akRamAlA: None
AkramaNa: rAw/a__n
AkramaNakArI: ladak/I__n
Akramiwa: None
akRAMSa: rAw/a__n
AkrAMwa: wIn/a__adj
AkraMxa: None
AkraMxiwa: None
akRamya: wIn/a__adj
akRaragaNiwa: None
akRAra: None
akRara: rAw/a__n
akRarajFAna: None
akRaramAlA: None
akRarAraMBa: None
akRarArWa: None
akRareKA: None
akRasUwra: None
akRavqwwa: None
akRawa: wIn/a__adj
akRawA: None
akRaxarSaka: None
akRaya: wIn/a__adj
akRayA: None
akRayI: None
akRayiNI: None
akRayya: None
AkRepa: rAw/a__n
AkRepaka: None
AkRepaNa: None
akRewra: None
akRi: None
akRikUta: None
akRINa: None
akRipakRma: None
akRipatala: None
AkRipwa: None
akRiwArA: None
akriya: None
akriyA: None
akRoBa: None
akRoBya: None
akROhiNI: None
AkroSa: rAw/a__n
AkroSaka: None
akroXa: None
akroXamaya: None
akroXana: None
akRubXa: None
akRuNNa: wIn/a__adj
akrUra: None
akRuxra: None
AksAida: None
AksIjana: rAw/a__n
AksIkaraNa: None
akula: None
Akula: None
akulA: None
AkulawA: None
akulIna: None
AkuMcana: None
AkuMciwa: None
akuMTa: None
AkuMTana: None
akuMTiwa: None
AkuMTiwa: None
akuSala: wIn/a__adj
akUta: None
akutila: None
akUwa: wIn/a__adj
akuwA: None
akuwoBaya: None
akuwsiwa: None
aKwara: rAw/a__n
aKwiyAra: rAw/a__n
akwUbara: rAw/a__n
AKyA: None
AKyAna: rAw/a__n
AKyAnika: None
AKyAwa: None
AKyAwA: None
AKyAwi: None
AKyAyaka: None
AKyAyikA: None
AKyeya: None
alabama: rAw/a__n
alabelA: None
alabXa: None
alaBya: None
alaga: wIn/a__adj
alagA: None
alagarajI: None
alagAU: None
alagAva: rAw/a__n
alaGu: None
alahaxA: None
Ala: rAw/a__n
AlA: bAlikA/__adj
alajja: None
alakA: None
alaKa: rAw/a__n
alaka: None
AlAkamAna: rAw/a__n
alaKaniraMjana: None
alakawarA: None
alaKaXArI: None
alakohala: None
alakRaNa: None
alakRiwa: None
AlakRiwa: None
alakRmI: None
alakRya: None
alamabaraxAra: None
alama: None
Alama: rAw/a__n
alamanAka: None
AlamapanAha: None
alamArI: ladak/I__n
AlamArI: None
AlaMba: None
AlaMbana: None
AlaMbiwa: None
alaMGanIya: None
alaMGya: None
alaMkAra: rAw/a__n
alaMkaraNa: rAw/a__n
alaMkAraSAswra: None
AlaMkArika: None
alaMkqwa: wIn/a__adj
alaMkqwi: None
alamUniyama: None
AlaOlAxa: None
AlApa: rAw/a__n
alApa: uT/a__v
AlApI: None
Alapina: None
alArmaGadI: None
alArma: None
alArmasiganala: None
alasA: KA/__v
Alasa: rAw/a__n
AlasI: None
Alasya: None
AlavAra: None
AlaWIpAlaWI: None
Alaya: None
AleKa: rAw/a__n
AleKana: None
AleKanavixyA: None
AleKya: None
alhada: None
alhadapana: None
AlhA: None
alIbaMxa: None
aligarxa: None
alI: ladak/I__n
ali: None
AlI: None
alIka: None
AlIKAnaxAna: None
aliKiwa: None
AliKiwa: None
alikula: None
aliMga: None
AliMgana: None
AliMgya: None
alimoxA: None
alipriyA: None
alipriya: None
alipwa: None
Alipwa: None
AlISAna: wIn/a__adj
alivqwwi: None
AlIximAga: None
allAha: rAw/a__n
allAhawAlA: None
allA: None
Alocaka: rAw/a__n
alocana: None
AlocanA: pIdZ/A__n
AlocanAwmaka: None
Alociwa: None
Alodana: None
Alodiwa: None
alohiwa: None
AlokaciwraNa: None
aloka: None
Aloka: rAw/a__n
Alokakara: None
AlokamArga: None
Alokana: None
AlokanIya: None
alOkika: wIn/a__adj
Alokiwa: wIn/a__adj
alola: None
alonA: None
alopa: None
alpabuxXi: None
alpagaMXa: None
alpAhAra: None
alpAhArI: None
alpa: wIn/a__adj
alpaja: None
alpajIvI: ajAwI/__adj
alpakAlika: wIn/a__adj
alpakAlIna: rAw/a__n
alpakeSI: None
alpanA: None
alpapawra: None
alpapramANa: None
alpaprANa: None
alpAraMBa: None
alpasaMKya: wIn/a__adj
alpasaMwoRI: None
alpasAra: None
alpAvakASa: None
alpAvasWA: None
alpavAxI: None
alpavirAma: None
alpavyaya: None
alpAyu: None
altImetama: None
AlUbuKArA: None
AlU: bah/U__n
AlUxama: None
amacUra: rAw/a__n
ama: None
Ama: rAw/a__n
AmajalasA: None
amalA: kAl/A__n
amala: Karc/a__n
Amaleta: None
amaMgala: None
amaMwra: None
amaMwraka: None
AmaMwraNa: rAw/a__n
AmaMwriwa: wIn/a__adj
amaMxa: None
amanacEna: None
amAna: wIn/a__adj
amana: rAw/a__n
amanapasaMxa: None
amAnawa: rAw/a__n
amAnawaKAwA: None
amAnawaxAra: None
amAnawI: None
Amane: None
amAnI: None
amAnuRa: wIn/a__adj
amanuRya: None
amAnya: None
amAnyavyakwi: None
AmApa: None
amarabela: None
amaraguru: None
amara: rAw/a__n
amarAI: None
amaraja: None
amarakoRa: None
amarakota: None
amaraloka: None
amaraNa: None
amaranAWa: rAw/a__n
amarapaKa: None
amarapaxa: None
amarapraBu: None
amarapura: None
amarapurI: None
amarapuRpa: None
amararAja: None
amararawna: None
amarasiMha: rAw/a__n
amaravara: None
amarAvawI: None
amarawA: kAl/A__n
amarawaru: None
amarawatinI: None
amarawva: None
amaraXAma: None
amaraxAru: None
amaraxvija: None
amarIkA: kAl/A__n
amarIkana: wIn/a__adj
amarIkI: ajAwI/__adj
amarRa: None
amarRI: None
amarUxa: None
amarwya: wIn/a__adj
amarxiwa: None
amaryAxa: None
amaryAxA: None
AmASaya: None
amAvasa: None
amAvata: None
amawi: None
amAwra: None
amawwa: None
amAwya: None
AmAxA: bAlikA/__adj
Amaxa: rAw/a__n
AmaxanI: ladak/I__n
AmaxarabAra: None
amaXura: None
aMBaH: None
aMBaHsAra: None
aMbA: None
aMBa: None
aMbAlikA: None
aMBaniXi: None
aMbApAlI: None
aMbara: None
aMbAra: rAw/a__n
aMbarIRa: None
aMbikA: kAl/A__n
aMbikeya: None
aMBoja: None
aMbu: None
aMbujA: None
aMbuja: None
aMbujAkRa: None
aMbujAsanA: None
aMbujAsana: None
aMbunAWa: None
aMbuniXi: None
aMbuwaskara: None
aMbuxa: None
aMbuXara: None
aMcala: rAw/a__n
AMcalika: None
aMciwa: None
aMda: Karc/a__n
aMdA: kAl/A__adj
aNdA: kAl/A__adj
aMdAkAra: wIn/a__adj
aMdASaya: None
aMdI: None
aMduA: None
amerikA: kAl/A__adj
amerikana: wIn/a__adj
ameXA: None
ameXya: None
ameya: None
ameyAwmA: None
aMgacArI: None
aMgahIna: None
AMga: None
aMga: rAw/a__n
aMgakriyA: None
aMgAMgiBAva: None
aMganA: None
aMgAra: None
AMgAra: None
aMgArA: None
aMgAraka: None
aMgarakRA: None
aMgArI: None
aMgArikA: None
aMgasaMgI: None
aMgaxa: None
aMgaXArI: None
aMgI: None
AMgika: None
aMgIkAra: rAw/a__n
aMgIkaraNa: None
aMgIkqwa: None
aMgIkwqwi: None
aMgirA: None
aMgirasa: None
aMgula: None
aMguli: Apawwi/__n
aMgulI: ladak/I__n
aMgulikA: None
aMgura: None
aMgUra: rAw/a__n
aMgUrIbela: None
aMgUrI: None
aMgurI: None
aMgUrISarAba: None
aMguRTa: None
aMguRTikA: None
AmIlana: None
amIna: rAw/a__n
AmiRaBojI: None
amIra: rAw/a__n
AmiRa: None
AmiRapriya: None
amIrI: None
amita: wIn/a__adj
amiwa: wIn/a__adj
amiwra: None
aMja: uT/a__v
aMjala: None
aMjali: SAnwi/__n
aMjalI: ladak/I__n
aMjalikA: None
aMjalika: None
aMjAma: rAw/a__n
aMjanA: kAl/A__n
aMjana: None
AMjaneya: None
aMjanI: ladak/I__n
aMjIra: None
aMjiwa: None
aMjorI: None
aMjumana: None
aMka: rAw/a__n
aMkana: rAw/a__n
aMkapawra: None
aMkaSAswra: None
aMkAvawAra: None
aMkaXArI: None
aMkiwa: wIn/a__adj
aMkiwamUlya: None
aMkura: rAw/a__n
aMkuraNa: None
aMkuriwa: None
aMkuSa: rAw/a__n
aMkusa: None
amla: rAw/a__n
amlajaMbIra: None
amlajana: None
amlakAMda: None
amlakeSara: None
amlAna: None
amlanAyaka: None
amlaniSA: None
amlaPala: None
amlapaMcaka: None
amlapawra: None
amlapawrI: None
amlasAra: None
amlavarga: None
amlavAtikA: None
amlavqkRa: None
amlawA: None
amlawaru: None
amlIya: rAw/a__n
ammAz: None
AmnAwa: None
AmnAya: None
amocana: None
amoGa: None
amoGA: None
amoGakiraNa: None
amoGaxaMda: None
amoGaxqRti: None
amola: None
amolaka: None
amOlika: None
amOna: None
amoniyA: None
Amoxa: rAw/a__n
Amoxana: None
Amoxapramoxa: None
AmoxayAwrA: None
AmoxI: None
Amoxiwa: None
amqRta: None
amqwAharaNa: None
amqwA: kAl/A__n
amqwa: rAw/a__n
amqwakara: None
amqwaloka: None
amqwamaMWana: None
amqwAMSu: None
amqwaPalA: None
amqwaPala: None
amqwarasa: None
amqwasAra: None
amqwawva: None
amqwaXArA: None
amqwyu: None
Amra: None
Amravana: None
aMsa: None
aMSa: rAw/a__n
